Paragraph_Num,Section,Section_Name,Header,Sub_Header,Sub_sub_head,Paragraph,Summary_Sentence,Tags
90,"III, D",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",,,"It is important to understand the relationship between the proposed no-blocking and 
commercial reasonableness rules. Although the proposed no-blocking rule only establishes a minimum 
level of service, and thus allows room for individualized negotiations, the proposed commercial 
reasonableness rule separately applies to any and all conduct, including by asking whether paid 
prioritization can be barred outright and by asking whether to bar practices that harm competition, 
consumers, and the free exercise of speech. ","There's a difference between the proposed no-blocking and commercial reasonableness rules. No-blocking establishes a minimum level of service with room for individualized negotations. Commercial reasonableness applies to everything, like asking whether paid prioritization should be banned or if practices that harm competition, consumers, or free speech should be banned",
91,"III, D, 1",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",The 2010 No-Blocking Rule,,"2010 Open Internet Order. In the Open Internet Order, the Commission adopted a no-
blocking rule to preserve the openness that was and remains a core expectation of end users.202 The Open 
Internet Order noted that a no-blocking principle had been broadly accepted since its inclusion in the 
Commission’s 2005 Internet Policy Statement,203 and the Internet Policy Statement itself reflected 
expectations and practices of how the Internet should and did work.204 A more limited variation of the 
rule applied to mobile broadband providers, due to the operational constraints that affect mobile 
broadband services, the rapidly evolving nature of the mobile broadband technologies, and the generally 
greater amount of consumer choice for mobile broadband services than for fixed.205 ",A no-blocking principle has been widely accepted since its inclusion in the FCC's 2005 Internet Policy Statement and continued in the 2010 Open Internet Order. A limited version of the rule applies to mobile broadband providers.,
92,"III, D, 1",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",The 2010 No-Blocking Rule,,"D.C. Circuit Opinion in Verizon v. FCC. The D.C. Circuit struck down the no-blocking 
rule after finding that the Commission had failed to provide a legal justification that would take the rule 
out of the realm of impermissible common carriage.206 The court stated that it was “somewhat less clear” 
whether the no-blocking rule constituted per se common carriage regulation than whether the 
antidiscrimination rule did.207 Nonetheless, the court concluded that the no-blocking rule, at least as 
described in the Open Internet Order, required broadband providers to serve edge providers 
indiscriminately.208 The no-blocking rule thereby imposed per se common carriage rules and thus 
violated the Communications Act’s prohibition on the imposition of common carrier obligations on 
providers of information services.209 ",The D.C. Circuit struck down the no-blocking rule in Verizon v. FCC because it stated the Commission failed to provide a legal justification that would take the rule out of the realm of impermissible common carriage. ,
93,"III, D, 1",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",The 2010 No-Blocking Rule,,"The court intimated that the no-blocking rule could pass scrutiny, however, if broadband 
providers could engage in individualized bargaining while subject to the rule. The court reasoned that “if 
the relevant service that broadband providers furnish is access to their subscribers generally, as opposed 
to access to their subscribers at the specific minimum speed necessary to satisfy the anti-blocking rules, 
then these rules, while perhaps establishing a lower limit on the forms that broadband providers’ 
arrangements with edge providers could take, might nonetheless leave sufficient ‘room for individualized 
bargaining and discrimination in terms’ so as not to run afoul of the statutory prohibitions of common 
carrier treatment.”210 Such a practice would allow for individualized bargaining where providers would 
not be required “to hold themselves out to serve all comers indiscriminately on the same or standardized 
terms.”211 If the Commission’s no-blocking rule allowed individualized bargaining above the minimum 
level of service necessary, then the rule might not create per se common carriage obligations.212 The 
court noted that although the Commission had asserted this interpretation of the rule at oral argument, the court could not consider it as a possible basis for upholding the rule because the Commission had not 
advanced this position in the Open Internet Order.213",The D.C. Circuit court said the no-blocking rule would be OK if broadband providers could bargain individually.,
94,"III, D, 2",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Proposal to Adopt a No-Blocking Rule,,"We continue to believe that safeguarding consumers’ ability to access and effectively use 
the lawful content, applications, services, and devices of their choice on the Internet is an essential 
component of protecting and promoting the open Internet. Therefore, we tentatively conclude that we 
should adopt the text of the rule that the Commission adopted in the Open Internet Order, which 
provided: 
A person engaged in the provision of fixed broadband Internet access service, insofar as 
such person is so engaged, shall not block lawful content, applications, services, or non-
harmful devices, subject to reasonable network management.214
A person engaged in the provision of mobile broadband Internet access service, insofar as 
such person is so engaged, shall not block consumers from accessing lawful websites, 
subject to reasonable network management; nor shall such person block applications that 
compete with the provider’s voice or video telephony services, subject to reasonable 
network management.215",FCC concludes that the text of the no-blocking rule from the Open Internet Order is sufficient. ,
95,"III, D, 2",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Proposal to Adopt a No-Blocking Rule,,"We believe this to be the public policy that will best serve Internet openness. While 
maintaining this rule text, we propose to make clear that the no-blocking rule would allow individualized 
bargaining above a minimum level of access to a broadband provider’s subscribers—the revised rationale 
the court suggested would be permissible rather than per se common carriage—but, also consistent with 
the court’s analysis, separately subject such practices to scrutiny under the commercially reasonable 
practices rule (or its equivalent). We believe that by preserving end users’ ability to access the Internet 
content of their choice, reinstating a no-blocking rule would increase demand for broadband services and 
thus increase investment in broadband network infrastructure and technologies.216 We seek comment on 
the proposed no-blocking rule and its potential effect on broadband investment and deployment, including 
whether and under what circumstances broadband providers have incentives to block content. We also 
seek comment on possible approaches other than adopting the text of the 2010 rule. Should we modify 
the text of the rule to explicitly address the minimum level of access required, as discussed below? ","Though the rule remains the same, the FCC wants to make clear that the no-blocking rule would allow individualized bargaining above a minimum level of access to a provider's subscribers. This would be consistent with the D.C. Circuit court's decision. how would the proposed no-blocking rule affect broadband investment and deployment? Should the FCC modify its 2010 no-blocking rule?",
96,"III, D, 2",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Proposal to Adopt a No-Blocking Rule,,"Alternatively, we seek comment on whether we should adopt a no-blocking rule that 
either itself prohibits broadband providers from entering into priority agreements with edge providers or 
acts in combination with a separate rule prohibiting such conduct.217 As discussed below, the record in 
this proceeding reflects numerous public concerns about the potential for priority agreements to harm an 
open Internet.218 How could we address such concerns in the context of the no-blocking rule? If the 
Commission were to proceed down this alternative path, how should the Commission define “priority”? 
Are “priority” agreements broader than “pay-for-priority,” possibly including the exchange of 
consideration other than money? Are there other arrangements between broadband providers and edge 
providers that have the potential to harm Internet openness and should be addressed within the no-
blocking rule? Commenters should address the legal bases and theories, including Title II, that the 
Commission could rely on for such a no-blocking rule, and how different sources of authority might lead 
to different formulations of the no-blocking rule. ","Should the FCC adopt a no-blocking rule that prevents broadband providers from making priority agreements with edge providers? The public is concerned with priority agreements harming an open Internet. Is there a difference between ""priority"" agreements and ""pay-for-priority"" agreements? If there are any other arrangements between broadband providers and edge providers that could harm open Internet, please let the FCC know of any legal bases and theories that they could apply to the no-blocking rule.",
97,"III, D, 3",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Establishing the Minimum Level of Access under the No-Blocking Rule,,"As noted above, the D.C. Circuit suggested that the Commission’s 2010 no-blocking rule 
could be interpreted as requiring broadband providers to “furnish . . . access to their subscribers 
generally” while “establishing a lower limit on the forms that broadband providers’ arrangements with 
edge providers could take”—and that under that interpretation the rule might not impose common carrier 
status on broadband providers.219 Consistent with the court’s ruling, we tentatively conclude that the 
revived no-blocking rule should be interpreted as requiring broadband providers to furnish edge providers 
with a minimum level of access to their end-user subscribers.220 We tentatively conclude that our 
proposed no-blocking rule would allow broadband providers sufficient flexibility to negotiate terms of 
service individually with edge providers, consistent with the court’s view that we must permit providers 
to “adapt . . . to individualized circumstances without having to hold themselves out to serve all comers 
indiscriminately on the same or standardized terms.”221 We reiterate that, as discussed further below, 
under the proposed rules contained herein such individualized arrangements for priority treatment would 
be subject to scrutiny under the proposed commercial reasonableness rule and prohibited under that rule if 
they harm Internet openness. We seek comment on these tentative conclusions.","The proposed no-blocking rule would give broadband providers flexibility to negotiate terms of service invididually with edge providers that are consistent with the court's view. hoever, the proposed rules would still have to fit under the proposed commercial reasonableness rule.",
98,"III, D, 3",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Establishing the Minimum Level of Access under the No-Blocking Rule,,"Requiring this minimum level of access under the no-blocking rule will ensure that all 
users have access to an Internet experience that is sufficiently robust, fast, and effectively usable.222 This 
includes both end-user consumers and edge providers of all types and sizes, including those content 
providers who do not enter into specific arrangements with broadband providers. In short, our approach
will enable consumers to access the content, services, and applications they demand and ensure that 
innovators and edge providers have the ability to offer new products and services. We seek comment on 
this analysis. ",The no-blocking rule requires a minimumn level of access. The FCC thinks that is enough to ensure innovators and edge provideres have the ability to offer new products and services.,
99,"III, D, 3",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Establishing the Minimum Level of Access under the No-Blocking Rule,,"Under the approach described by the D.C. Circuit, “broadband providers [would] have no 
obligation to actually provide an edge provider with the minimum service necessary to satisfy the rules,” 
because they could instead “deliver all edge providers’ traffic” in a manner that exceeds that minimum, 
and they would then be free to “negotiate separate agreements with each individual edge provider” and 
also to “charge similarly-situated edge providers completely different prices for the same service.”223 Are 
there alternative approaches that, consistent with the Verizon decision, would avoid per se common carriage? Are there forms of price discrimination that, even if appropriate under the no-blocking rule, 
should be separately subject to the commercial reasonableness rule or its equivalent? ",Are there other ways avoid per se common carriage that is in line with the D.C. Circuit decision? Are there forms of price discrimination that should be seperate from the commercial reasonableness rule?,
100,"III, D, 3",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Establishing the Minimum Level of Access under the No-Blocking Rule,,"We also seek comment on how, consistent with this interpretation, we should define or 
clarify the minimum level of access required by the rule, or otherwise define what provider conduct 
would constitute “blocking” under the rule. In our view, a defined minimum level of access provides 
assurances both to end users, by helping them understand the potential uses of their service, and to edge 
providers. Such assurances should enhance consumer demand, which drives investment both in the 
network and at the edge. ",How should the FCC define the minimum level of access? ,
101,"III, D, 3",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Establishing the Minimum Level of Access under the No-Blocking Rule,,"We also seek comment on how “minimum level of access” should be defined to provide 
the robust, fast, and effectively usable access discussed above. Should we define the minimum level of 
access from the perspective of end users, edge providers, or both? Should the minimum level of access be 
dynamic, evolving over time, and if so, how can that flexibility be incorporated into the rule? In the 
following paragraphs, we describe in alphabetical order several possible options by which we may define 
a minimum level of access under the no-blocking rule. We seek comment on these options and on any 
approaches by which the Commission should define the minimum level of access. For each of these 
potential options, we seek comment on its advantages and disadvantages, on its legal sustainability under 
Verizon, and on how effective it would be at protecting the open Internet, including the ease or difficulty 
with which violations can be identified and remedied. We seek comment on how the Commission should 
implement, monitor compliance with, and enforce the rule, under each of the options described. For each 
option, we also seek comment on whether the minimum level of access should be reflected in providers’ 
disclosures under an enhanced transparency rule. Under any of these options, we seek comment on how 
the minimum level of access should be measured. Should the Commission measure technical parameters, 
based on a sample, focusing on speed, packet loss, latency, or other factors? Where in the network should 
such measurement take place to ensure an accurate measure of the broadband provider’s performance? 
Finally, we recognize that from time to time a provider may be unable to provide such a minimum level 
of access temporarily for a variety of reasons.224 We seek comment on how the Commission should 
distinguish such temporary inadvertent failures from intentional or prolonged blocking, including whether 
the Commission should consider exempting incidents of blocking that last for less than a specified 
amount of time. ","Should the minimumn level of access be defined from the perspective of the end users or edge providers or both? Should it be dynamic and can flexibility be incorporated into the rule? How should minimum level of access be measured, reported, and enforced? ",
102,"III, D, 3",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Establishing the Minimum Level of Access under the No-Blocking Rule,,"Best Effort. One way to define a minimum level of access is as a requirement that 
broadband providers apply no less than a “best effort” standard to deliver traffic to end users.225 For any 
particular type of Internet traffic, best-effort delivery would represent the “typical” level of service for 
that type of traffic—in effect, routing traffic according to the “traditional” architecture of the Internet.226 
Broadband providers would be free to negotiate “better than typical” delivery with edge providers, and 
would be prohibited (subject to reasonable network management) from delivering “worse than typical” 
service in the form of degradation or outright blocking. We seek comment on this potential approach. Would “best effort” be measured against the technical capacity of a particular broadband provider’s 
network capacity and characteristics?","Best Effort: Should minimum level of access require a ""best effort"" standard? ",
103,"III, D, 3",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Establishing the Minimum Level of Access under the No-Blocking Rule,,"Minimum Quantitative Performance. Another way to define a minimum level of access 
is through specific technical parameters, such as a minimum speed. To the extent that commenters 
believe that the Commission should promulgate a rule that establishes specific technical parameters for 
the required minimum level of access, what should those parameters be? Should they identify specific 
speeds of service, or would it be preferable to identify specific problems that a minimum level of service 
would avoid (such as preventing latency and jitter for services that tolerate them poorly)?227 Would the 
Commission need to differentiate between different broadband access technologies? While this approach 
would provide greater certainty than other approaches, a specific technical definition of minimum access 
could become outdated as available broadband network technologies change and available broadband 
speeds improve. How frequently would we need to revisit a specific technical definition of minimum 
access to ensure that it keeps up with advances in broadband service?",Minimum Quantitative Performance: Should minimum level of access require technical specifications like minimum speed? Should minimum speed differ between broadband access technologies. How often should minimumn speed be revised?,
104,"III, D, 3",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Establishing the Minimum Level of Access under the No-Blocking Rule,,"An Objective, Evolving “Reasonable Person” Standard. Another approach to defining a 
minimum level of access to broadband providers’ end users is to think of it as the level that satisfies the 
reasonable expectations of a typical end user. We might think of this as a “reasonable person” standard of 
access. For example, a typical end user may reasonably expect the ability to access streaming video from 
any provider, place and receive telephone calls using the VoIP service of the end user’s choosing, and 
access any lawful web content. Under this approach, a broadband provider that satisfies these and other 
reasonable expectations would be in compliance with the no-blocking rule. One possible advantage of 
this approach to defining minimum access is flexibility: the absence of a specific technical definition 
means that the standard for compliance can evolve as the expectations in the marketplace change without 
further Commission action. On the other hand, this approach may create less certainty than other 
approaches might and could be more difficult to enforce. We seek comment generally on a “reasonable 
person” standard for defining minimum access, and in particular, how this standard could be crafted to be 
sufficiently objective and predictable to provide certainty to broadband providers and edge providers. ","An Objective, Evolving ""Reasonable Person"" Standard: Should minimum level of access be defined as what a typical end user expects? The upside of this definition is flexibility and is not tied to specific technical definitions that might change as technology does. Downside is that this is difficult to enforce.",
105,"III, D, 4",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Application of the No-Blocking Rule to Mobile Broadband,,"As noted above, the 2010 no-blocking rule applied differently to mobile broadband 
providers than to fixed, and today’s Notice would maintain that approach. The previous rule prohibited 
mobile broadband providers from blocking consumers from accessing lawful websites or blocking 
applications that compete with the provider’s voice or video telephony services. We propose to adopt the 
same approach as in the 2010 obligation, which would prohibit mobile broadband providers from 
blocking lawful web content as well as applications that compete with the mobile broadband providers’ 
own voice or video telephony services, subject to reasonable network management. We seek comment on 
this proposal. ",The 2010 no-blocking rule that was applied differently to mobile and fixed broadband providers would continue.,
106,"III, D, 4",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Application of the No-Blocking Rule to Mobile Broadband,,"In addition, we seek comment on whether it would serve the public interest to expand the should the Commission consider applying a no-blocking rule to facilities-based mobile providers versus 
resellers?
rule’s scope to include reasonable access to all applications that compete with the mobile broadband 
Internet access provider’s other services, not just those that compete with voice or video telephony 
services, subject to reasonable network management practices. Should the application of the no-blocking 
rule to mobile broadband providers turn on whether mobile service was marketed to consumers as a 
substitute for a fixed telecommunications service previously offered by the provider or its affiliate? How 
would treating mobile broadband differently from fixed broadband affect consumers in different 
demographic groups, including those who rely solely on mobile broadband for Internet access?228 How ","Should the no-blocking rule be expanded to applications which compete with mobile broadband providers other services, not just those that compete with video or video telephony?",
107,"III, D, 4",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Application of the No-Blocking Rule to Mobile Broadband,,"We also seek comment on whether and how we should define a minimum level of access 
in the context of the proposed no-blocking rule for mobile broadband, or otherwise clarify what 
constitutes “blocking,” and whether that definition should be different for mobile broadband than for 
fixed. For each of the approaches discussed above to define a “minimum level of access,” we seek 
comment on any particular benefits or difficulties that such approach would present. ","How can the term ""no blocking"" best be defined, and should it be different for mobile or fixed broadband?",
108,"III, D, 4",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Application of the No-Blocking Rule to Mobile Broadband,,"We recognize that there have been substantial mobile marketplace changes and 
developments since 2010, including the increased use of Wi-Fi technology, and seek comment on whether 
and how such changes should impact our no-blocking rule for mobile broadband. We seek comment on 
the extent to which we should take into account the increasing provision of Wi-Fi by broadband 
providers,229 and the growing use of Wi-Fi by end users for the off-load of wireless broadband, as we 
consider the application of the no-blocking rule to mobile broadband services.230 ","How should marketplace changes, such as WiFi, impact no-blocking rules for mobile?",
109,"III, D, 5",DISCUSSION,"Preventing Blocking of Lawful Content, Applications, Services, and Nonharmful Devices",Application of the No-Blocking Rule to Devices,,"The 2010 no-blocking rule prohibited fixed broadband providers from blocking non-
harmful end-user devices, and the rule we propose today would do the same. We seek comment on how 
this treatment of non-harmful devices fits into the Verizon court’s interpretation of the rule. Should the 
ability to attach non-harmful devices to broadband service be included among the reasonable end-user 
expectations listed above, or should we analyze non-harmful devices differently? ",Does the FCC rule on treatment of non-harmful devices fit in the court's interpretation of the rule? Should non-harmful devices be included in end-user expectations?,
110,"III, E",DISCUSSION,Codifying an Enforceable Rule to Protect the Open Internet That Is Not Common Carriage Per Se,,,"Separate and distinct from the no-blocking rule, we believe that establishing an 
enforceable legal standard for broadband provider practices is necessary to preserve Internet openness, 
protect consumers, and promote competition. While the D.C. Circuit vacated the Commission’s rule 
prohibiting “unreasonable discrimination” by fixed broadband providers on the theory that it “so limited 
broadband providers’ control over edge providers’ transmissions that [it] constitute[d] common carriage 
per se,” the court underscored the validity of the “commercially reasonable” legal standard the 
Commission used in the data roaming context and the court upheld in Cellco.231 ","The FCC believes that an enforceable legal standard for broadband providers is necessary to preserve Internet openness, protect customers and promote competition.",
111,"III, E",DISCUSSION,Codifying an Enforceable Rule to Protect the Open Internet That Is Not Common Carriage Per Se,,,"Today, we tentatively conclude that the Commission should adopt a revised rule that, 
consistent with the court’s decision, may permit broadband providers to engage in individualized practices, while prohibiting those broadband provider practices that threaten to harm Internet openness. 
Our proposed approach contains three essential elements: (1) an enforceable legal standard of conduct 
barring broadband provider practices that threaten to undermine Internet openness, providing certainty to 
network providers, end users, and edge providers alike, (2) clearly established factors that give additional 
guidance on the kind of conduct that is likely to violate the enforceable legal standard, and 
(3) encouragement of individualized negotiation and, if necessary, a mechanism to allow the Commission 
to evaluate challenged practices on a case-by-case basis, thereby providing flexibility in assessing 
whether a particular practice comports with the legal standard. We seek comment below on the design 
and justification of this rule. ","The FCC proposes an enforceable standard of conduct to prevent broadband providers from undermining Internet openness, develop clear guidance on conduct that would violate the standard and encourage individualized negotation.",
112,"III, E",DISCUSSION,Codifying an Enforceable Rule to Protect the Open Internet That Is Not Common Carriage Per Se,,,"Alternatively, we also seek comment on whether the Commission should adopt an 
alternative legal standard to govern broadband providers’ practices. How can we ensure that our 
proposed rule sufficiently protects against harms to the open Internet? How would the rule we propose 
today change if the Commission were to rely on Title II (or other sources of legal authority) to adopt rules 
to protect and promote Internet openness?232 We seek comment on how the goal of the proposed rule—to 
prevent those broadband provider practices that limit Internet openness—could best be achieved. ",How can the FCC achieve the goal of the proposed rule (should the FCC adopt an alternative legal standard)?,
113,"III, E, 1",DISCUSSION,Codifying an Enforceable Rule to Protect the Open Internet That Is Not Common Carriage Per Se,The 2010 No Unreasonable Discrimination Rule,,"2010 Open Internet Order. The Commission adopted a no unreasonable discrimination 
rule to prevent fixed broadband providers from engaging in harmful conduct when transmitting lawful 
network traffic over a consumer’s broadband Internet access service.233 The antidiscrimination rule 
prohibited fixed broadband providers from unreasonably discriminating against network traffic subject to 
reasonable network management.234 Unlike the transparency and no-blocking rules the Commission 
adopted in 2010, the no unreasonable discrimination rule did not apply to mobile broadband Internet 
access service providers.235 ","The FCC adopted a no reasonable discrimination rule to prevent broadband providers (excluding mobile broadband Internet service providers) from unreasonbly discriminating against certain network traffic, subject to reasonable network management.",
114,"III, E, 1",DISCUSSION,Codifying an Enforceable Rule to Protect the Open Internet That Is Not Common Carriage Per Se,The 2010 No Unreasonable Discrimination Rule,,"D.C. Circuit Opinion in Verizon v. FCC. The D.C. Circuit vacated the antidiscrimination 
rule because it found that the rule improperly relegated fixed broadband providers to common carrier 
status.236 This violated the statutory ban on common carrier treatment of information service providers
because the Commission had classified broadband providers “not as providers of ‘telecommunications 
services’ but instead as providers of ‘information services.’” 237 The court disagreed with the Commission’s interpretation to the contrary,238 finding that by compelling fixed broadband providers to 
serve all edge providers who provided content, services, and applications over the Internet without 
unreasonable discrimination, the rule compelled those providers to hold themselves out “to serve the 
public indiscriminately”—thus treating them as common carriers.239 ","The D.C. Circuit vacated the antidiscrimination 
rule because it found that the rule improperly relegated fixed broadband providers to common carrier 
status.",
115,"III, E, 1",DISCUSSION,Codifying an Enforceable Rule to Protect the Open Internet That Is Not Common Carriage Per Se,The 2010 No Unreasonable Discrimination Rule,,"In making its determination, the court relied on its previous decision in Cellco, where it 
upheld the Commission’s data roaming requirements against a common carrier challenge.240 The court 
suggested that had the Commission shown that the “no unreasonable discrimination” standard adopted in 
the Open Internet Order differed from the “nondiscrimination” standard applicable to common carriers, 
the rule might have withstood judicial review similar to the data roaming rule at issue in Cellco.241 This is 
because the rule in Cellco “expressly permit[ted] providers to adapt roaming agreements to 
‘individualized circumstances without having to hold themselves out to serve all comers indiscriminately 
on the same or standardized terms.’”242 The court went on to suggest that, unlike the data roaming rules 
at issue in Cellco, which listed specific factors to consider in a case-by-case determination of whether a 
data roaming provider’s conduct and offerings were commercially reasonable based on the totality of the 
circumstances,243 the Open Internet Order did not attempt to “ensure that [the] reasonableness standard remains flexible.”244 The D.C. Circuit suggested that a rule preventing certain types of conduct by 
broadband providers might be acceptable, given the manner in which the Commission has classified 
broadband providers, if the Commission articulated a discrete, flexible standard that prohibited practices 
that could reasonably be understood to harm Internet openness, while allowing individualized broadband 
provider practices, akin to the “commercially reasonable” standard adopted by the Commission in the 
data roaming context.245","The court, in making its decision, relied on an earlier case involving Cellco.",
116,"III, E, 2",DISCUSSION,Codifying an Enforceable Rule to Protect the Open Internet That Is Not Common Carriage Per Se,Proposed Elements of an Enforceable Legal Rule,Prohibiting Only Commercially Unreasonable Practices,"Sound public policy requires that Internet openness be the touchstone of a new legal 
standard. Accordingly, we tentatively conclude that the Commission should adopt a rule requiring 
broadband providers to use “commercially reasonable” practices in the provision of broadband Internet 
access service. Our proposed approach is both more focused and more flexible than the vacated 2010 
non-discrimination rule. It would prohibit as commercially unreasonable those broadband providers’ 
practices that, based on the totality of the circumstances, threaten to harm Internet openness and all that it 
protects. At the same time, it could permit broadband providers to serve customers and carry traffic on an 
individually negotiated basis, “without having to hold themselves out to serve all comers indiscriminately 
on the same or standardized terms,” so long as such conduct is commercially reasonable.246 The D.C. 
Circuit explained that such an approach distinguished the data roaming rules at issue in Cellco from 
common carrier obligations.247 We seek general comment on this approach, and more targeted comment 
below. ","The FCC tentatively concludes it should adopt a rule requiring broadband providers to use ""commercially reasonable"" practices when it comes to access.",
117,"III, E, 2",DISCUSSION,Codifying an Enforceable Rule to Protect the Open Internet That Is Not Common Carriage Per Se,Proposed Elements of an Enforceable Legal Rule,Prohibiting Only Commercially Unreasonable Practices,"With respect to this approach in general, we tentatively conclude that it should operate 
separately from the no-blocking rule that we also propose to adopt. In other words, the presence or 
absence of the no-blocking rule would have no impact on the presence or absence of the “commercially 
reasonable” standard, and vice versa. This would mean that conduct acceptable under the no-blocking 
rule would still be subject to independent examination under the “commercially reasonable” standard. 
We seek comment on this approach.","The presence or absence of the no-blocking rule should have no impact on the presence or absence of the ""commercially reasonable"" standard.",
118,"III, E, 2",DISCUSSION,Codifying an Enforceable Rule to Protect the Open Internet That Is Not Common Carriage Per Se,Proposed Elements of an Enforceable Legal Rule,Prohibiting Only Commercially Unreasonable Practices,"The core purpose of the legal standard that we wish to adopt, whether the “commercially 
reasonable” standard or another legal formulation, is to effectively employ the authority that the Verizon 
court held was within the Commission’s power under section 706. In essence, the court upheld the 
Commission’s judgment that (1) section 706 grants substantive power to the Commission to take actions, 
including removing barriers to infrastructure investment and promoting competition in telecommunications markets, that will promote the deployment of broadband networks; (2) the 
Commission was within its authority to conclude that the “virtuous circle” can be adversely impacted by 
broadband network practices that, over the long term, depress end user demand, which then threatens
broadband deployment; and (3) threats to the open Internet, such as limitations on users to access the 
content of their choice or speak their views freely, are therefore within the authority of the Commission to 
curb. In selecting a legal standard, the Commission not only wishes to avoid subjecting broadband 
networks to common carriage per se, it also wishes to choose a legal standard whose valid adoption 
renders unnecessary the adjudication of any question other than whether the adopted legal standard has 
been violated. This is the distinction between the authority to adopt a standard and its subsequent 
application.248","The ""commercially reasonable"" standard is legally strong, based on previous court rulings.",
119,"III, E, 2",DISCUSSION,Codifying an Enforceable Rule to Protect the Open Internet That Is Not Common Carriage Per Se,Proposed Elements of an Enforceable Legal Rule,Prohibiting Only Commercially Unreasonable Practices,"Are there alternative legal standards, whether in analogous contexts or otherwise 
identified by commenters, that the Commission should consider? Is there an existing standard that would 
serve a similar purpose to what we propose here and that would prevent the harms to Internet 
openness?249 If so, how, and if not, what would any differences be? Could the Commission modify its 
approach to “reasonable network management” in ways that would establish a more flexible legal 
standard that would not constitute common carriage per se? Commenters advocating alternative legal 
standards should explain why they are preferable, both in terms of the substantive requirements of the 
alternative standard (such as how they would address providers’ conduct, offerings, and practices) and its 
implementation (such as whether and how it may permit individualized decision-making), and how they 
would protect an open Internet. And, as to the “commercially reasonable” standard or any other, we seek 
comment on whether there are sources of law or practice the Commission should rely upon in explaining 
the meaning and application of that standard.",Commenters are asked if there are there alternative legal standards the FCC should consider.,
120,"III, E, 2",DISCUSSION,Codifying an Enforceable Rule to Protect the Open Internet That Is Not Common Carriage Per Se,Proposed Elements of an Enforceable Legal Rule,Prohibiting Only Commercially Unreasonable Practices,"We also seek comment on how a rule requiring broadband providers to engage in 
commercially reasonable practices with respect to delivery of traffic to and from end users should apply 
in circumstances in which no individualized negotiation occurs between the edge provider and the 
broadband provider. To cite just a few of many possible examples, consider a start-up VoIP service, a 
politically oriented website with an audience of fewer than 100 unique visitors per day, a social 
networking application narrowly focused on a particular demographic, or peer-to-peer communications 
among individuals. Not all of those actors may seek to enter into a contract with a broadband provider;
they may simply wish to reach its subscribers. We seek comment on the impact of this difference on the 
selection and/or application of the general legal standard.",How does a rule requiring broadband providers to engage in commercially reasonable practices apply when there is no individual negotiation between the edge provider and the broadband provider?,
121,"III, E, 2",DISCUSSION,Codifying an Enforceable Rule to Protect the Open Internet That Is Not Common Carriage Per Se,Proposed Elements of an Enforceable Legal Rule,Prohibiting Only Commercially Unreasonable Practices,"As an alternative to our proposed approach, we seek comment on whether the 
Commission should adopt a different rule to govern broadband providers’ practices to protect and 
promote Internet openness. As mentioned above, a number of parties have expressed concerns about the 
effect of pay-for-priority agreements on Internet openness.250 How can the Commission ensure that the 
rule it adopts sufficiently protects against harms to the open Internet, including broadband providers’
incentives to disadvantage edge providers or classes of edge providers in ways that would harm Internet 
openness? Should the Commission adopt a rule that prohibits unreasonable discrimination and, if so, 
what legal authority and theories should we rely upon to do so? If the Commission ultimately adopts a
Title II approach, how should the Commission define the rule in light of the requirements under sections 
201 and 202 of the Act?251 ",Should there be a different rule that governs broadband providers' practices to protect and promote Internet openness?,
